id,name,gender,city,address,salary,mobile,mailid
100,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
101,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
102,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
103,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
104,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
105,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
106,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
107,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
108,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
109,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
110,srikanth,male,markapur,kondepally,42000,9440639542,ganta@gmail.com
